nonce,entropy,uniqueness,zero_density,pattern_score,is_valid
45024757,2.816822055832886,0.7467408385872467,0.04554797247060129,0.650942052845632,0
2941604100,3.3067543731565205,0.8714501664663964,0.0597444611713492,0.7632245557063355,0
654466637,3.1821658395200725,0.8403249756965276,0.06438505880925688,0.6954251365237812,1
82366625,2.658563379525063,0.7686748666269523,0.03950887078144689,0.6077257863950577,1
487074028,3.926480055339305,0.7804680148876251,0.05970891996905271,0.8878271645490282,1
2836554609,3.0573468030444895,0.9329476433429014,0.05789544276780367,0.7392579948733377,0
4030703227,3.242241713480796,0.8239035822593933,0.03571726136384857,0.8619150855506337,1
511454321,3.678385980310434,0.843120054149864,0.06530016081770795,0.8406565023594987,0
3804509891,2.84736609521869,0.9494620727012867,0.05585749937439988,0.6889444594705895,1
2367671828,3.4434957122492156,0.8409554782274083,0.05551692915124436,0.6458883193234335,0
3502017321,3.0265410001254294,0.9339819254115533,0.054842409729239566,0.7159124702688054,1
3072747130,3.332038901980206,0.8937222329527269,0.06470174431276535,0.8270967962331588,0
2649412958,3.9538233202375372,0.7434153573920137,0.060577581924782554,0.660688643538923,1
2993159153,3.5831210381943492,0.8749197155259635,0.06109958788042738,0.6668875905605662,0
3022066865,2.589200332697645,0.7462161782660728,0.03212181016582262,0.6049402271747091,1
4126536789,3.548081605433718,0.8269881922107372,0.05832734200159782,0.6885744098074745,0
65096200,3.5088082751702854,0.7542387234787553,0.06127251205121957,0.8775781855777427,0
2962271128,2.5009303997648877,0.7641884206828731,0.053512823350581135,0.6114291246800087,0
2689769997,2.6106940618618752,0.8571007584682002,0.033691927105910666,0.6806315204333684,0
4198962105,3.654471462492489,0.7018613601338625,0.03803956634999415,0.7970875640468327,0
370116191,2.5967514633984514,0.7535101439729556,0.05913650512963792,0.7333449882223254,1
757024504,2.7300610687076103,0.7562958138846868,0.0590070419620384,0.8043368170681734,1
1079675155,2.9536674480963163,0.9394507931444589,0.06665178623735224,0.895694390364983,1
2688312212,3.133290210735411,0.7048993589951627,0.06092502225503228,0.8783436081801523,0
239521319,3.354539011711015,0.8552801327593099,0.043417877814450084,0.6287612749176562,1
1113492790,2.97972544491718,0.7440424369081714,0.03419889639791851,0.7346867015426328,0
3881628675,2.550826475109104,0.8443750662748242,0.04778650985668313,0.6440183732558645,1
2393531293,3.2027253637246087,0.7846692151351471,0.040088763783477865,0.8976198744640613,0
3838058882,3.705880914591209,0.9194582032029199,0.04281472703929996,0.8331408646284174,1
253761101,3.427193775615404,0.9342137171277906,0.058818133349424574,0.7836504625386598,1
1817756797,3.3671227762166707,0.7600496162178807,0.06725077084109775,0.6475255053371803,0
358624014,2.7457542851585695,0.733870841522726,0.04055856489115485,0.870296166680713,1
2774162197,3.1258395831451864,0.7393813871758708,0.06686896817527825,0.742185778885093,0
354262898,3.4830139553682136,0.8980147554679349,0.06102336236119949,0.825704048515688,1
3587534193,2.542100267845808,0.7793902996125373,0.06870899838849737,0.6792604569929082,0
2708723944,3.234205214269105,0.9395692189672326,0.0482071664579405,0.7760697267567532,1
3947195899,3.7010907546495186,0.8830001189224896,0.0337449942981919,0.6933251625663586,1
2104019451,3.5311703025601675,0.8477788455456045,0.03169644954528853,0.6012691255558071,0
971244531,3.301299000963242,0.9024539533394659,0.05028126020201282,0.6541328840049766,1
953856476,3.6421752718769813,0.7433157819018924,0.03649263516578918,0.6482825070767281,1
2362095292,2.739995514592026,0.902138509013543,0.06370691372176199,0.8593074819657216,1
2710016257,3.3119279861010407,0.7546262479550772,0.04033953462214424,0.8764803451230521,0
